,,
イントロ (1 / 22),,
タイルワールドで,タイルワールドでは,
ルーンが入ったデバイスの,,
利用りようが広ひろがっていました,,
新しいコミュニケーション方法ほうほうを可能かのうにする,新しいコミュニケーションを可能かのうにする,
これらのデバイスは世界を,このデバイスは世界を,
永久えいきゅうに変かえてしまった,完全かんぜんに変かえてしまいました,
,,
マーカス大技師だいぎしと3人の仲間なかまの支配下しはいかで、,マーカス大技師だいぎしとその仲間なかま３人にんの支配下しはいかで,
アコティス市しの,,
ルーンクラフターたちが,,
毎日ますます,毎日数多かずおおく,
作っていました,作つくり出だしていました,
大技師だいぎしになる前、,,
マーカスは,,
親切しんせつな少年しょうねんいました,親切しんせつな少年しょうねんだったのです,
,,
前 | 次,,
,,
,,
,,
忙しい少年 (2 / 22),,
ネロビとアコティスの間あいだに、山の下にあるロックタウン村では、一人の少年しょうねんがとても忙いそがしそうにしていました。,ネロビとアコティスの間あいだ、そこの山のふもとにあるロックタウン村で、一人の少年しょうねんがとても忙いそがしそうにしていました。,
.,,
,,
必要ひつようなものはバッグの中に入はいっているのか？地図ちずとコンパスはここ。食べ物と剣けんある。準備じゅんびよし。,必要ひつようなものは持もっているかな？地図ちずにコンパス、食べ物と剣けんもある。準備じゅんびよし！,
..  ..  ..,,
.,,
,,
ルーンストーンハンティングに行こう！,,
,,
前 | 次,,
,,
,,
,,
森への道のり (3 / 22),,
ルーンストーンハンティングの場所ばしょは、少年しょうねんの家から遠かったのです。,ルーンストーンハンティングの場所ばしょは、少年しょうねんの家から遠いです。,
,,
,,
.,,
この道、知らないわ。ここはどこだろう？,この道な知らないな。どこだろう？,
...,,
.,,
正ただしい道を歩んでいると思う。東に進すすめば、小さな池いけに到着とうちゃくするはずだ。,道は正しいと思うんだけど。このまま東に進すすめば、小さな池いけに到着とうちゃくするはずなんだ。,
,,
前 | 次,,
,,
,,
,,
昼ご飯 (4 / 22),,
