,,
アコティスの騎士のメッセージ (1 / 18),,"These are the messages between Marcus and Acotis' knight, right? And, the blue highlighted (without diammond) is from Marcus to the knight, and he cannot read it. Am I right?"
,,
💎 明日はアコティスへの 💎,,
💎 旅のために元気でいるだから 💎,💎 旅のために元気でいたいから 💎,
💎 宿やどで待ってるよ 💎,,
⏳,,
💎 分かった 💎,,
💎 僕はそのニコロの商人しょうにんに 💎,,
💎 会いに行く 💎,,
⏳,,
こんにちは！,,
💎 2キロまでメッセージが 💎,,
💎 送れるルーンストーンが 💎,,
💎 あると言う人？ 💎,💎 あると言っている人？ 💎,
⏳,,
💎 そうね、宿やどで会おう 💎,💎 そうだね、宿やどで会おう 💎,
⏳,,
このメッセージは,,
読めますか？,,
前 | 次,,
,,
届かなかったメッセージ (2 / 18),,
,,
マーカスのメッセージは、,,
先週のアコティスの騎士きしに届とどきませんでした。,先週会ったアコティスの騎士きしに届とどきませんでした。,
.,,
この石は何か変だ...,,
🤔,,
メッセージを受うけ取とることしかできないのだろうか？,,
カー,ピカーン,
💡,,
😀,,
きっとそうなんだ。,きっとそうだ,
少し勉強して変えてみるよ。,少し勉強して変えてみよう,
前 | 次,,
,,
地下室にあるマーカス (3 / 18),地下室のマーカス (3 / 18),
,,
ルーンクラフトのハンドブックを読んだ後、地下室ちかしつでマーカスは新しい石を彫ほる準備じゅんびをしました。,ルーンクラフトのハンドブックを読んだ後、マーカスは地下室ちかしつで新しい石を彫ほる準備じゅんびをしました。,
,,
.,,
本によると、この形をこことあそこに彫ほれば、ルーンハブはもっと遠くにメッセージを送おくることができるようになるはず,,
😅,,
しばらく時間がかかりそう,しばらく時間がかかりそうだな,
.,,
さあ、仕事を始めよう！,,
前 | 次,,
,,
ディドゥにメッセージが届いた (4 / 18),ディドゥに届けるメッセージ (4 / 18),
,,
彫ほり終おえたばかりのルーンハブをテストするため、マーカスは湖みずうみまで持って行きました。,彫ほり終おえたばかりのルーンハブをテストするため、マーカスは湖みずうみまで来ました。,
,,
.,,
ここはディドゥからもロックタウンからも遠い。,,
今なら家からセレスティーナにメッセージを送れるはずだ。,,
家に帰ってやってみよう。,,
😮,,
でも、誰かに盗ぬすまれたらどうする？,でも、誰かに盗ぬすまれたらどうしよう？,
🤔,,
🙂,,
まあ、この木では誰にも見えないだろう,まあ、この木だと誰にも見えないだろう,
前 | 次,,
,,
セレスティーナへのメッセージ (5 / 18),,
,,
,,
セレスティーナ ?,,
,,
💎 マーカス ? 💎,,
💎 ディドゥーにいるのか？💎,💎 ディドゥーにいるの？💎,
,,
いや,,
自分の家にいるんだ,,
,,
💎 そんなことが可能かのうなのか？ 💎,💎 そんなことがありえるの？ 💎,
,,
💎 地下の建物に 💎,,
💎 入ったんだね！ 💎,💎 入ったのね！ 💎,
,,
あそこで見つけた石は,,
素晴すばらしいよね,,
,,
💎 でも、しないって言った 💎,💎 でも、しないでって言ったでしょ 💎,
前 | 次,,
,,
本当によくわかる (6 / 18),よくわかる (6 / 18),本当に＆よく＝sounds too much to me
,,
マーカスはその友達の家に行くが、今度はセレスティーナ気が悪いでした。,マーカスはその友達の家に行きましたが、セレスティーナは機嫌が悪いようです。,
,,
😑,,
マーカス,,
.,,
セレスティーナ,,
.,,
私の庭に足を踏ふみ入いれるな...もうあなたとは話したくないの,私の庭に足を踏ふみ入いれないで...もうあなたとは話したくないの,
.,,
でも、わかってほしいんだ,,
.,,
本当によくわかるよ,よくわかるわ,
前 | 次,,
,,
もう二度と来ないで (7 / 18),,These are all great!
,,
怒おこったセレスティーナは手首てくびからブレスレットを外はずして、川に落としてしまいました。,,
,,
.,,
このブレスレットは、,,
あなたを悪い人に変えてしまう,,
.,,
...,,
.,,
私はあなたを信じていた,,
.,,
でも...,,
.,,
もう二度と来こないで,,
前 | 次,,
,,
悲しいマーカス (8 / 18),,
,,
マーカスが歩いて帰ってしまうのは、とても悲かなしいことです。,マーカスは悲かなしみに暮くれながら帰かえり道みちを歩いていました。,
,,
.,,
何をしたのだろうか？,僕は何をしたのだろうか？,
☹️,,
僕は石を取ったけど、また生はえてくる。,,
どうして分かってくれないんだろう？,,
📳,,
ブーブー,,
.,,
セレスティーナはきっと、ごめんなさいと言いたいんだろう,,
前 | 次,,
,,
ニコロのメッセージ (9 / 18),,
,,
💎 ニコロだ。 💎,,
💎 セレスティーナとの 💎,,
💎 会話かいわを受け取ったよ。 💎,,
,,
もちろん、できるさ...,ああ…,
,,
💎 持ち帰ったルーンストーン 💎,,
💎 の可能性かのうせいはすごいよ 💎,,
,,
もちろん！,それなんだ！,
,,
💎 僕の妹のソフィアは 💎,💎 僕の妹のソフィアが 💎,
💎 あなたに本当に 💎,💎 君に本当に 💎,
💎 会いたがっているんだが 💎,💎 会いたがっているんだが 💎,
💎 僕の家で来ないか？ 💎,💎 僕の家に来ないか？ 💎,
,,
もちろん,,
,,
前 | 次,,
,,
花の手入れをする少女 (10 / 18),,
,,
商人しょうにんの大きな家の前で、少女しょうじょが花の手入ていれをしていました。,,
,,
.,,
あなたはソフィア？,君はソフィア？,
.,,
それが僕の名前なんだけど、じゃあマーカスだね。,そうよ、じゃあなたの名前はマーカスね。,
ご友人ゆうじんとのこと、残念ざんねんでしたね。,,
.,,
複雑ふくざつなんだ,,
.,,
父があなたの作ったルーンブレスレットを見せてくれたの。,,
本当にいい物。,本当にいい物だったわ。,
前 | 次,,
,,
参加するか (11 / 18),行くかどうか (11 / 18),
,,
マーカスとソフィアが握手あくしゅをしたとき、ニコロが家から出てきた。,マーカスとソフィアが握手あくしゅをしていると、ニコロが家から出てきました。,
,,
.,,
やあ、マーカス,,
.,,
こんにちは、,,
どうして来てほしいの？,なにか用だった？,
.,,
アコティスの先生たちは、あなたに大学で勉強してほしい,アコティスの先生たちが、あなたに大学で勉強してほしいって,
.,,
明日はアコティスに行くんだ。参加さんかするのか？,明日はアコティスに行くんだ。一緒に行いかないか？,
😨,,
明日！,,
前 | 次,,
,,
世界を良くする (12 / 18),,
,,
静かなリリーの湖みずうみで、マーカスは水面すいめんを見つめていました。,静かなリリーの湖みずうみで、マーカスは水面みなもを見つめていました。,
,,
🤔,,
僕の生活せいかつを変かえる準備じゅんびができているのだろうか？,僕は自分の生活せいかつを変かえる準備じゅんびができているのだろうか？,
.,,
本当に世界せかいを良くしたい,,
😐,,
でも、もう仲なかが悪くなった,でも、もう友人ゆうじんとの仲なかは悪くなってしまった,
⏳,,
.,,
なぜ僕が気にするのか？,,
このハブを使えば、たくさんの友人ゆうじんを作ることができる。,このハブを使えば、たくさんの友人ゆうじんを作ることができるじゃないか。,
前 | 次,,
,,
早朝の着 (13 / 18),早朝の到着 (13 / 18),
,,
